epoch,accuracy,loss,val_accuracy,val_loss
5,0.6260877847671509,0.6425811052322388,0.8614270687103271,0.5450446009635925
6,0.6365487575531006,0.6336403489112854,0.866080641746521,0.6111766695976257
7,0.6481207013130188,0.6270046830177307,0.8908997178077698,0.5763435363769531
8,0.6573782563209534,0.6212437152862549,0.8350569009780884,0.6043598651885986
9,0.6658026576042175,0.6170821785926819,0.8614270687103271,0.49347612261772156
10,0.6720051765441895,0.6130757331848145,0.8697000741958618,0.5111754536628723
11,0.6825587749481201,0.6063843965530396,0.8614270687103271,0.4847925901412964
12,0.6887613534927368,0.60207599401474,0.8614270687103271,0.4757535755634308
13,0.6934826970100403,0.5996308922767639,0.8624612092971802,0.4694776237010956
14,0.6955193281173706,0.5954881310462952,0.8924508690834045,0.5217676758766174
15,0.7076467275619507,0.5876525640487671,0.8841778635978699,0.4902745187282562
16,0.7044991850852966,0.586603045463562,0.892967939376831,0.5154328942298889
17,0.7145898938179016,0.5816267728805542,0.8903826475143433,0.5004686117172241
18,0.7092205286026001,0.5795136094093323,0.8841778635978699,0.5265373587608337
