epoch,accuracy,loss,val_accuracy,val_loss
0,0.5318747162818909,0.6907117962837219,0.8598759174346924,0.661552906036377
1,0.5457333326339722,0.685397744178772,0.7316442728042603,0.671173632144928
2,0.5687916278839111,0.6763767600059509,0.45760083198547363,0.6879029273986816
3,0.5821194648742676,0.671438455581665,0.8148913979530334,0.6420408487319946
4,0.6108391880989075,0.6633995175361633,0.8779731392860413,0.6076163053512573
5,0.6046470403671265,0.6597251296043396,0.7673215866088867,0.6332598924636841
6,0.6149672865867615,0.6547829508781433,0.816442608833313,0.6139411926269531
7,0.6185646057128906,0.6516475677490234,0.8722854256629944,0.5530322790145874
8,0.6359615325927734,0.6456080675125122,0.8665977120399475,0.5816116333007812
9,0.6357256770133972,0.6424817442893982,0.7497414946556091,0.61282879114151
10,0.6376717686653137,0.6402865648269653,0.8877972960472107,0.55025714635849
11,0.6373178958892822,0.6368367075920105,0.8826266527175903,0.5313131213188171
12,0.6477560997009277,0.6329501867294312,0.8650465607643127,0.4897630214691162
13,0.6497611403465271,0.6308440566062927,0.8893485069274902,0.5266484618186951
14,0.6527097821235657,0.62727952003479,0.8852120041847229,0.5307748317718506
15,0.6493483781814575,0.6257911920547485,0.8578076362609863,0.5386671423912048
16,0.656484067440033,0.6216843724250793,0.81540846824646,0.5581024289131165
17,0.6577814221382141,0.6203883290290833,0.8759048581123352,0.5214530825614929
