epoch,accuracy,loss,val_accuracy,val_loss
0,0.5281004905700684,0.6922115683555603,0.3262667953968048,0.6989682912826538
1,0.551984429359436,0.6838728189468384,0.8588417768478394,0.6356356739997864
2,0.5611841678619385,0.6783723831176758,0.481385737657547,0.6846677660942078
3,0.5893731117248535,0.6700756549835205,0.8598759174346924,0.5956268906593323
4,0.6011676788330078,0.6640087962150574,0.8857290744781494,0.6140472292900085
5,0.6160877346992493,0.6576718688011169,0.8702171444892883,0.5723302364349365
6,0.6126083731651306,0.6550564765930176,0.8691830635070801,0.5572854280471802
7,0.6234003901481628,0.6496136784553528,0.6861426830291748,0.6375463604927063
8,0.6221029758453369,0.6481577157974243,0.8691830635070801,0.5797504186630249
9,0.6411511301994324,0.6406963467597961,0.8593588471412659,0.575943648815155
10,0.631125807762146,0.640512228012085,0.879524290561676,0.5338509678840637
11,0.6465766429901123,0.6338077783584595,0.7817993760108948,0.5923992991447449
12,0.6478740572929382,0.6333242654800415,0.8743536472320557,0.5053776502609253
13,0.6503508687019348,0.6299451589584351,0.8743536472320557,0.4876445233821869
14,0.6571916937828064,0.6262912750244141,0.878490149974823,0.5338327884674072
15,0.6494073271751404,0.6255065202713013,0.8888314366340637,0.5115127563476562
16,0.6576045155525208,0.6225564479827881,0.843329906463623,0.5415637493133545
17,0.6606711149215698,0.6182287335395813,0.878490149974823,0.474705308675766
18,0.6594916582107544,0.6178976893424988,0.8753877878189087,0.5161567330360413
19,0.6640915274620056,0.6138765811920166,0.8790072202682495,0.4598538875579834
